Day,Ad name,Campaign name,Campaign ID,Platform,Age,Gender,Impression device,Amount Spent,Clicks,CPC-cost per link click,"CPM-cost per 1,000 impressions",Video average play time,Impressions,Reach,Frequency
11/1/2022,,Art of Kindness_Registration,6278035004397,facebook,18-24,female,android_smartphone,6.06,17,1.52,12.68,3,478,423,1.13
11/1/2022,,Art of Kindness_Registration,6278035004397,instagram,55-64,male,android_smartphone,2.70,3,1.35,14.21,2,190,173,1.1
11/1/2022,,Art of Kindness_Registration,6278035004397,facebook,35-44,unknown,android_tablet,0.02,0,,5,3,4,4,1
11/1/2022,,Art of Kindness_Registration,6278035004397,instagram,25-34,female,android_tablet,0.04,0,,40,2,1,1,1
11/1/2022,,Art of Kindness_Registration,6278035004397,facebook,55-64,unknown,desktop,0.86,2,0.86,7.68,2,112,107,1.05
11/1/2022,,Art of Kindness_Registration,6278035004397,facebook,65+,male,ipad,1.23,2,,15,1,82,79,1.04
11/1/2022,,Art of Kindness_Registration,6278035004397,instagram,55-64,female,ipad,0.11,0,,7.33,1,15,14,1.07
11/1/2022,,Art of Kindness_Registration,6278035004397,facebook,35-44,male,iphone,28.65,63,2.05,13.93,2,2056,1823,1.13
11/1/2022,,Art of Kindness_Registration,6278035004397,instagram,45-54,female,iphone,10.29,7,3.43,11.25,3,915,793,1.15
11/1/2022,,Art of Kindness_Registration,6278035004397,facebook,55-64,unknown,other,0.00,0,,0,6,1,1,1
11/1/2022,Awareness_Evergreen_Video Views_Lookalikes_National1%All_Dual50+,Awareness_Evergreen_Video Views,6277506227397,facebook,18-24,female,android_smartphone,37.05,27,1.48,20.57,3,1801,1799,1
11/1/2022,Awareness_Evergreen_Video Views_Lookalikes_National1%All_Dual50+,Awareness_Evergreen_Video Views,6277506227397,instagram,45-54,male,android_smartphone,0.82,,,7.52,5,109,106,1.03
11/1/2022,Awareness_Evergreen_Video Views_Lookalikes_National1%All_DualUnder50,Awareness_Evergreen_Video Views,6277506227397,facebook,25-34,male,android_tablet,0.01,,,5,16,2,2,1
11/1/2022,Awareness_Evergreen_Video Views_Lookalikes_National1%All_DualUnder50,Awareness_Evergreen_Video Views,6277506227397,instagram,35-44,female,android_tablet,0.17,,,15.45,9,11,11,1
11/1/2022,Awareness_Evergreen_Video Views_Broad_DFW_DualUnder50,Awareness_Evergreen_Video Views,6277506227397,facebook,65+,female,desktop,0.15,,,4.55,14,33,33,1
11/1/2022,Awareness_Evergreen_Video Views_Broad_DFW_DualUnder50,Awareness_Evergreen_Video Views,6277506227397,facebook,45-54,female,ipad,0.04,,,4,10,10,10,1
11/1/2022,Awareness_Evergreen_Video Views_Broad_DFW_Dual50+,Awareness_Evergreen_Video Views,6277506227397,instagram,55-64,male,ipad,0.17,0,,18.89,14,9,9,1
11/1/2022,Awareness_Evergreen_Video Views_Broad_DFW_Dual50+,Awareness_Evergreen_Video Views,6277506227397,facebook,65+,male,iphone,40.44,9,5.06,23.65,9,1710,1706,1
11/1/2022,Awareness_Evergreen_Video Views_Lookalikes_National1%All_DualUnder50,Awareness_Evergreen_Video Views,6277506227397,instagram,25-34,female,iphone,0.75,0,,9.38,10,80,78,1.03
11/1/2022,Awareness_Evergreen_Video Views_Lookalikes_National1%All_Dual50+,Awareness_Evergreen_Video Views,6277506227397,instagram,45-54,unknown,ipod,0.03,0,,30,11,1,1,1
11/1/2022,Awareness_Evergreen_Video Views_Broad_DFW_DualUnder50,Awareness_Evergreen_Video Views,6277506227397,instagram,55-64,female,other,0.06,0,,30,7,2,2,1
11/1/2022,Frontier_Fall Series_Registrations_Lookalikes_1%All_Dual_SpringSeason_Sign Up,Frontier_Fall Series_Registrations,6273055765397,facebook,65+,male,android_smartphone,40.40,85,0.96,41.74,5,968,875,1.11
11/1/2022,Frontier_Fall Series_Registrations_Lookalikes_1%All_Dual_SpringSeason_Sign Up,Frontier_Fall Series_Registrations,6273055765397,instagram,65+,female,android_smartphone,6.02,0,,58.45,4,103,101,1.02
11/1/2022,Frontier_Fall Series_Registrations_Lookalikes_1%All_Dual_SpringSeason_Sign Up,Frontier_Fall Series_Registrations,6273055765397,facebook,25-34,female,android_tablet,0.79,3,0.79,41.58,4,19,19,1
11/1/2022,Frontier_Fall Series_Registrations_Lookalikes_1%All_Dual_SpringSeason_Sign Up,Frontier_Fall Series_Registrations,6273055765397,instagram,45-54,female,android_tablet,0.02,0,,20,1,1,1,1
11/1/2022,Frontier_Fall Series_Registrations_Lookalikes_1%All_Dual_SpringSeason_Sign Up,Frontier_Fall Series_Registrations,6273055765397,facebook,35-44,female,desktop,5.60,4,2.8,40.58,16,138,129,1.07
11/1/2022,Frontier_Fall Series_Registrations_Lookalikes_1%All_Dual_SpringSeason_Sign Up,Frontier_Fall Series_Registrations,6273055765397,facebook,55-64,male,ipad,4.28,8,1.43,40.76,5,105,96,1.09
11/1/2022,Frontier_Fall Series_Registrations_Lookalikes_1%All_Dual_SpringSeason_Sign Up,Frontier_Fall Series_Registrations,6273055765397,instagram,55-64,female,ipad,0.88,1,0.88,62.86,12,14,14,1
11/1/2022,Frontier_Fall Series_Registrations_Lookalikes_1%All_Dual_SpringSeason_Sign Up,Frontier_Fall Series_Registrations,6273055765397,facebook,55-64,unknown,iphone,43.68,102,1.02,35.08,4,1245,1059,1.18
11/1/2022,Frontier_Fall Series_Registrations_Lookalikes_1%All_Dual_SpringSeason_Sign Up,Frontier_Fall Series_Registrations,6273055765397,instagram,65+,unknown,iphone,15.32,6,2.55,53.01,5,289,278,1.04
11/1/2022,Frontier_Fall Series_Registrations_Lookalikes_1%All_Dual_SpringSeason_Sign Up,Frontier_Fall Series_Registrations,6273055765397,instagram,55-64,female,ipod,0.01,0,,10,6,1,1,1
11/1/2022,Frontier_Fall Series_Registrations_Lookalikes_1%All_Dual_SpringSeason_Sign Up,Frontier_Fall Series_Registrations,6273055765397,facebook,25-34,male,other,0.02,0,,6.67,6,3,2,1.5
11/1/2022,Frontier_Fall Series_Registrations_Retargeting_All_Dual_SpringSeason_Sign Up,Presents_Evergreen_Registrations,6271297892597,facebook,45-54,male,android_smartphone,88.91,86,2.47,66.05,9,1346,1264,1.06
11/1/2022,Frontier_Fall Series_Registrations_Lookalikes_1%All_Dual_SpringSeason_Sign Up,Presents_Evergreen_Registrations,6271297892597,instagram,35-44,female,android_smartphone,36.38,6,6.06,112.98,5,322,322,1
11/1/2022,Frontier_Fall Series_Registrations_Interests_All_Dual_SpringSeason_Sign Up,Presents_Evergreen_Registrations,6271297892597,facebook,25-34,female,android_tablet,2.66,2,,70,40,38,36,1.06
11/1/2022,Frontier_Fall Series_Registrations_Retargeting_All_Dual_SpringSeason_Sign Up,Presents_Evergreen_Registrations,6271297892597,instagram,45-54,female,android_tablet,0.31,0,,51.67,6,6,2,3
11/1/2022,Frontier_Fall Series_Registrations_Lookalikes_1%All_Dual_SpringSeason_Sign Up,Presents_Evergreen_Registrations,6271297892597,facebook,65+,female,desktop,7.46,9,1.24,36.93,8,202,196,1.03
11/1/2022,Frontier_Fall Series_Registrations_Interests_All_Dual_SpringSeason_Sign Up,Presents_Evergreen_Registrations,6271297892597,facebook,55-64,male,ipad,7.20,9,1.44,46.45,7,155,155,1
11/1/2022,Frontier_Fall Series_Registrations_Retargeting_All_Dual_SpringSeason_Sign Up,Presents_Evergreen_Registrations,6271297892597,instagram,65+,male,ipad,4.62,2,2.31,82.5,7,56,56,1
11/1/2022,Presents_Evergreen_Registrations_Lookalike_1%_National_Dual_Video_2023SEASON_Sign Up,Presents_Evergreen_Registrations,6271297892597,facebook,35-44,unknown,iphone,99.89,111,1.69,50.76,5,1968,1746,1.13
11/1/2022,Presents_Evergreen_Registrations_Retargeting_All_National_Dual_Video_2023SEASON_Sign Up,Presents_Evergreen_Registrations,6271297892597,instagram,35-44,male,iphone,100.24,40,2.95,68.8,7,1457,1374,1.06
11/1/2022,Presents_Evergreen_Registrations_Interests_All_National_Dual_Video_2023SEASON_Sign Up,Presents_Evergreen_Registrations,6271297892597,facebook,65+,unknown,other,0.10,0,,50,0,2,2,1
11/2/2022,,Art of Kindness_Registration,6278035004397,facebook,18-24,female,android_smartphone,4.70,16,0.94,11.3,13,416,358,1.16
11/2/2022,,Art of Kindness_Registration,6278035004397,instagram,18-24,female,android_smartphone,2.06,1,2.06,15.04,2,137,126,1.09
11/2/2022,,Art of Kindness_Registration,6278035004397,facebook,35-44,male,android_tablet,0.02,0,,5,2,4,4,1
11/2/2022,,Art of Kindness_Registration,6278035004397,facebook,55-64,male,desktop,1.14,1,1.14,10.56,1,108,101,1.07
11/2/2022,,Art of Kindness_Registration,6278035004397,facebook,25-34,female,ipad,1.28,4,1.28,18.03,2,71,68,1.04
11/2/2022,,Art of Kindness_Registration,6278035004397,instagram,65+,male,ipad,0.26,1,0.26,17.33,2,15,14,1.07
11/2/2022,,Art of Kindness_Registration,6278035004397,facebook,45-54,female,iphone,29.42,64,2.45,14.89,3,1976,1694,1.17
11/2/2022,,Art of Kindness_Registration,6278035004397,instagram,55-64,female,iphone,10.52,6,3.51,12.06,13,872,755,1.15
11/2/2022,,Art of Kindness_Registration,6278035004397,facebook,65+,female,ipod,0.01,0,,10,8,1,1,1
11/2/2022,Awareness_Evergreen_Video Views_Lookalikes_National1%All_Dual50+,Awareness_Evergreen_Video Views,6277506227397,facebook,45-54,male,android_smartphone,40.00,26,1.6,18.35,4,2180,2176,1
11/2/2022,Awareness_Evergreen_Video Views_Lookalikes_National1%All_Dual50+,Awareness_Evergreen_Video Views,6277506227397,instagram,18-24,male,android_smartphone,1.16,,,9.75,8,119,117,1.02
11/2/2022,Awareness_Evergreen_Video Views_Lookalikes_National1%All_DualUnder50,Awareness_Evergreen_Video Views,6277506227397,facebook,35-44,male,android_tablet,0.00,,,0,6,1,1,1
11/2/2022,Awareness_Evergreen_Video Views_Lookalikes_National1%All_DualUnder50,Awareness_Evergreen_Video Views,6277506227397,instagram,18-24,female,android_tablet,0.13,,,21.67,4,6,6,1
11/2/2022,Awareness_Evergreen_Video Views_Broad_DFW_DualUnder50,Awareness_Evergreen_Video Views,6277506227397,facebook,55-64,female,desktop,0.19,,,4.87,5,39,39,1
11/2/2022,Awareness_Evergreen_Video Views_Broad_DFW_DualUnder50,Awareness_Evergreen_Video Views,6277506227397,facebook,25-34,male,ipad,0.11,,,5.5,9,20,20,1
11/2/2022,Awareness_Evergreen_Video Views_Broad_DFW_Dual50+,Awareness_Evergreen_Video Views,6277506227397,instagram,65+,unknown,ipad,0.19,,,14.62,14,13,13,1
11/2/2022,Awareness_Evergreen_Video Views_Broad_DFW_Dual50+,Awareness_Evergreen_Video Views,6277506227397,facebook,35-44,male,iphone,34.90,3,11.63,22.83,8,1529,1524,1
11/2/2022,Awareness_Evergreen_Video Views_Lookalikes_National1%All_DualUnder50,Awareness_Evergreen_Video Views,6277506227397,instagram,18-24,female,iphone,1.13,0,,9.34,3,121,118,1.03
11/2/2022,Awareness_Evergreen_Video Views_Lookalikes_National1%All_Dual50+,Awareness_Evergreen_Video Views,6277506227397,facebook,55-64,male,other,0.01,0,,5,5,2,2,1
11/2/2022,Awareness_Evergreen_Video Views_Broad_DFW_DualUnder50,Awareness_Evergreen_Video Views,6277506227397,instagram,65+,female,other,0.04,0,,20,6,2,2,1
11/2/2022,Frontier_Fall Series_Registrations_Lookalikes_1%All_Dual_SpringSeason_Sign Up,Frontier_Fall Series_Registrations,6273055765397,facebook,25-34,female,android_smartphone,33.89,72,1.06,33.26,9,1019,931,1.09
11/2/2022,Frontier_Fall Series_Registrations_Lookalikes_1%All_Dual_SpringSeason_Sign Up,Frontier_Fall Series_Registrations,6273055765397,instagram,45-54,male,android_smartphone,6.34,4,1.59,55.61,7,114,110,1.04
11/2/2022,Frontier_Fall Series_Registrations_Lookalikes_1%All_Dual_SpringSeason_Sign Up,Frontier_Fall Series_Registrations,6273055765397,facebook,45-54,male,android_tablet,0.75,3,0.75,28.85,4,26,25,1.04
11/2/2022,Frontier_Fall Series_Registrations_Lookalikes_1%All_Dual_SpringSeason_Sign Up,Frontier_Fall Series_Registrations,6273055765397,instagram,45-54,female,android_tablet,0.12,0,,120,4,1,1,1
11/2/2022,Frontier_Fall Series_Registrations_Lookalikes_1%All_Dual_SpringSeason_Sign Up,Frontier_Fall Series_Registrations,6273055765397,facebook,45-54,unknown,desktop,5.97,4,1.99,33.73,0,177,163,1.09
11/2/2022,Frontier_Fall Series_Registrations_Lookalikes_1%All_Dual_SpringSeason_Sign Up,Frontier_Fall Series_Registrations,6273055765397,facebook,35-44,female,ipad,2.85,15,0.41,22.44,3,127,115,1.1
11/2/2022,Frontier_Fall Series_Registrations_Lookalikes_1%All_Dual_SpringSeason_Sign Up,Frontier_Fall Series_Registrations,6273055765397,instagram,65+,unknown,ipad,1.05,0,,42,2,25,22,1.14
11/2/2022,Frontier_Fall Series_Registrations_Lookalikes_1%All_Dual_SpringSeason_Sign Up,Frontier_Fall Series_Registrations,6273055765397,facebook,65+,male,iphone,46.98,111,1.07,29.66,16,1584,1368,1.16
11/2/2022,Frontier_Fall Series_Registrations_Lookalikes_1%All_Dual_SpringSeason_Sign Up,Frontier_Fall Series_Registrations,6273055765397,instagram,18-24,male,iphone,18.32,17,1.53,49.78,9,368,362,1.02
11/2/2022,Frontier_Fall Series_Registrations_Lookalikes_1%All_Dual_SpringSeason_Sign Up,Frontier_Fall Series_Registrations,6273055765397,facebook,35-44,female,other,0.15,0,,37.5,9,4,4,1
11/2/2022,Presents_Evergreen_Registrations_Lookalike_1%_National_Dual_Video_2023SEASON_Sign Up,Presents_Evergreen_Registrations,6271297892597,facebook,65+,female,android_smartphone,69.26,87,1.87,62.28,13,1112,1068,1.04
11/2/2022,Presents_Evergreen_Registrations_Retargeting_All_National_Dual_Video_2023SEASON_Sign Up,Presents_Evergreen_Registrations,6271297892597,instagram,35-44,unknown,android_smartphone,31.43,16,2.25,57.78,5,544,532,1.02
11/2/2022,Presents_Evergreen_Registrations_Interests_All_National_Dual_Video_2023SEASON_Sign Up,Presents_Evergreen_Registrations,6271297892597,facebook,45-54,unknown,android_tablet,2.20,1,,84.62,0,26,26,1
11/2/2022,Presents_Evergreen_Registrations_Interests_All_National_Dual_Image_2023SEASON_Sign Up,Presents_Evergreen_Registrations,6271297892597,instagram,25-34,male,android_tablet,0.52,0,0,57.78,5,9,9,1
11/2/2022,Presents_Evergreen_Registrations_Lookalike_1%_National_Dual_Image_2023SEASON_Sign Up,Presents_Evergreen_Registrations,6271297892597,facebook,55-64,unknown,desktop,6.56,2,3.28,33.64,9,195,195,1
11/2/2022,Presents_Evergreen_Registrations_Retargeting_All_National_Dual_Image_2023SEASON_Sign Up,Presents_Evergreen_Registrations,6271297892597,facebook,45-54,unknown,ipad,5.22,6,1.74,40.47,4,129,126,1.02
11/2/2022,Presents_Evergreen_Registrations_Lookalike_1%_National_Dual_Video_2023SEASON_Sign Up,Presents_Evergreen_Registrations,6271297892597,instagram,35-44,unknown,ipad,5.55,3,2.78,59.68,5,93,70,1.33
